ens,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000171720,114.757232730663,-0.354431042906097,0.0438847221235291,6.03992890784887e-16,1.07132463598137e-15
ENSG00000113845,108.306540475725,-0.441984417425481,0.0547537850837411,6.04256018785166e-16,1.07167904410971e-15
ENSG00000197594,62.418975073757,-0.967882388891838,0.121062878479455,6.10917790383917e-16,1.08338051155153e-15
ENSG00000248333,134.056812395871,0.405123337684078,0.0500727027852014,6.16244064297535e-16,1.09271144978898e-15
ENSG00000226259,16.2801145069689,-0.952961191466665,0.118393088344725,6.23842112088145e-16,1.10606827436537e-15
ENSG00000170275,1028.3186056761,-0.480152010569655,0.0596976829151801,6.33531090775822e-16,1.12312912028708e-15
ENSG00000143622,62.9193365872371,-0.460281827108295,0.0571056281365561,6.35835006160589e-16,1.1270954628475e-15
ENSG00000103254,22.9507720458474,0.78336709556767,0.0977316224418752,6.49766728454523e-16,1.15167052875618e-15
ENSG00000108590,13.2638761996697,-0.511102484813183,0.0634348990609625,6.53373947591069e-16,1.15794283381977e-15
ENSG00000144395,13.2696127591709,0.704785146619198,0.0874965316987515,6.67772976209718e-16,1.18333762143749e-15
ENSG00000156671,59.4843097353818,-0.620544500902605,0.0768719188309445,6.79419845380173e-16,1.20385059496016e-15
ENSG00000059588,91.6204287006611,-0.689533965974107,0.085333693603476,6.81176144822941e-16,1.20683620340503e-15
ENSG00000167759,7.77297305778042,3.82856889716112,0.379079025949955,6.8410904855163e-16,1.2119055523065e-15
ENSG00000159363,255.207343099313,0.647980689985056,0.080990337435785,6.8845005447191e-16,1.21946804520535e-15
ENSG00000166747,206.771719766446,-0.392581020036439,0.0487132811190782,6.95904659488746e-16,1.23254357072489e-15
ENSG00000261364,11.3557241337845,1.84024154309199,0.236690856146401,6.99078712809634e-16,1.2380357030766e-15
ENSG00000107829,76.8158055184757,0.479712255897657,0.0595828459696103,7.06991274354134e-16,1.25191748466664e-15
ENSG00000143702,232.945034361109,-0.71803546813152,0.0890535863393755,7.16615657783705e-16,1.2688272840244e-15
ENSG00000184207,50.5485447920314,-0.545604189144291,0.0678950229726426,7.24681733085771e-16,1.28297472097036e-15
ENSG00000185917,41.7689593912511,-0.422457769333073,0.0525644544874462,7.34021533217626e-16,1.29937396189816e-15
ENSG00000120057,5.0114647879192,3.14458165358376,0.36937524553938,7.38154401751162e-16,1.30655336222949e-15
ENSG00000103335,333.686966100176,-0.623753986305708,0.0777337201489439,7.46560239845178e-16,1.32129374248454e-15
ENSG00000184381,58.8951609374405,-0.856315099689742,0.106689781786326,7.50971106159224e-16,1.32896131030373e-15
ENSG00000154548,3.49088138541859,0.903973681915801,0.112989658317179,7.53954368881635e-16,1.3341011702375e-15
ENSG00000120697,49.2548641504469,-0.453468339284946,0.0563616316974171,7.61968192519209e-16,1.34814046188455e-15
ENSG00000167653,14.5291621148833,2.32074772915625,0.278751547259833,7.76733730724008e-16,1.3741212911575e-15
ENSG00000123395,85.0783302763951,0.581886880284987,0.0726056847087392,7.97060108040096e-16,1.4099333537394e-15
ENSG00000155906,37.5440283529234,-0.482515484223897,0.0598651921127089,7.97187361603554e-16,1.4100110873801e-15
ENSG00000188242,29.6955796875234,1.26714386728636,0.160241651379737,8.10810028817762e-16,1.43395608544834e-15
ENSG00000107581,903.041972993945,0.516412379702345,0.0640776438341447,8.46424122915549e-16,1.49678490025553e-15
ENSG00000161011,1375.60012852206,0.665460393158612,0.0831753949486796,8.56015813237046e-16,1.51358834507282e-15
ENSG00000040341,57.0752592513962,-0.505055580015782,0.0627287747876774,8.63856346777245e-16,1.52729224581687e-15
ENSG00000168517,22.9124399120199,0.548514527298206,0.0684923332970804,8.69668291769086e-16,1.53740712744848e-15
ENSG00000144021,233.378299101201,0.35466165843839,0.0441695336894958,8.73823785745324e-16,1.54459191370649e-15
ENSG00000113048,162.053902598529,-0.369543131482435,0.0460223316776663,8.74751582001941e-16,1.54607043915861e-15
ENSG00000153944,246.500034353094,-0.505058526163699,0.062806457774463,8.75108981963753e-16,1.54654062020847e-15
ENSG00000116157,33.0295375164848,1.06797509476075,0.134158734182857,8.76310147681268e-16,1.54850169654473e-15
ENSG00000171234,5.82319114577422,1.75709842344552,0.226541217732822,9.27426797187295e-16,1.63865732773723e-15
ENSG00000279033,19.2057867980402,1.33453010003794,0.170381514453791,9.27716603769328e-16,1.63899827962379e-15
ENSG00000082482,17.2060834917883,1.36640777390906,0.172297188609876,9.40992175774196e-16,1.66227873655968e-15
ENSG00000099810,114.95194371459,-0.848485773307871,0.10644762411399,9.41293595686584e-16,1.66263766510075e-15
ENSG00000144554,66.064877952061,-0.541664159210305,0.0674403736582563,9.44430513011009e-16,1.6680044279152e-15
ENSG00000251349,7.65612873237927,-0.827263541056949,0.103350626282734,9.45551731147535e-16,1.66981041837146e-15
ENSG00000185658,76.479979670884,-0.52202160123216,0.0648810393487649,9.54215680994867e-16,1.68493483576819e-15
ENSG00000160767,170.554136527369,0.541330039424535,0.067867192910544,9.6033077300379e-16,1.69555584530452e-15
ENSG00000110321,1145.44973189375,-0.498161055182476,0.0620540455680525,9.64363249307097e-16,1.70249796542428e-15
ENSG00000075856,113.613816413373,-0.321795854882221,0.0400291345860095,9.77577563601564e-16,1.72564666916526e-15
ENSG00000170190,27.2377457805945,-0.906780119417223,0.113754756794018,9.86459741042227e-16,1.74114413569086e-15
ENSG00000167130,30.398021680281,-0.475235403303421,0.059197887853312,9.96836776399713e-16,1.75927658400054e-15
ENSG00000138829,31.2917101480762,-2.07139427279165,0.263144654508871,1.00670818431598e-15,1.77651298295777e-15
ENSG00000164327,68.1891889482268,-0.629364536794493,0.0782416949388157,1.02187044657256e-15,1.80308145415352e-15
ENSG00000110090,204.473591831413,0.818934383448043,0.102820194595134,1.02532247823243e-15,1.80898394079891e-15
ENSG00000110442,99.9992724655353,-0.378597354776657,0.047663046508391,1.06571736804766e-15,1.88005695791189e-15
ENSG00000284879,6.18119498486172,-1.48222784789244,0.18774133459954,1.08506345508223e-15,1.91398634468648e-15
ENSG00000147852,105.549029549384,-0.85447353840636,0.107134305955334,1.10450118865947e-15,1.94807030200724e-15
ENSG00000263002,44.2537367570355,0.502210400672895,0.0627604197005944,1.1095622980957e-15,1.95679294521931e-15
ENSG00000157741,65.9293713717017,-0.520958013006835,0.0649979824927035,1.12429126149798e-15,1.98256195049523e-15
ENSG00000182606,165.482223981294,-0.420695482930867,0.0525316419924563,1.13125911941821e-15,1.99464117055455e-15
ENSG00000110801,102.387834820779,-0.316924418049322,0.03957439393594,1.14457003819265e-15,2.01790082254278e-15
ENSG00000129195,49.4454533131626,-0.785347556912413,0.0987963948821644,1.17127024026898e-15,2.06475875602047e-15
ENSG00000165355,26.575996539319,-0.501989184306438,0.0638180424425762,1.17357607728387e-15,2.06860811372938e-15
ENSG00000146376,60.5980811550709,-0.746462216583268,0.0934349426649756,1.17795054604206e-15,2.07610257125501e-15
ENSG00000170571,26.9557219622566,1.42100018407345,0.180818366856045,1.18333277899039e-15,2.08537143736072e-15
ENSG00000107625,58.6583882715845,-0.474588639689689,0.0592790464322997,1.20298001767675e-15,2.1197747838812e-15
ENSG00000143554,211.573241190654,1.41371790872691,0.181192596989856,1.22062204941977e-15,2.15063795403182e-15
ENSG00000168273,26.200285757181,0.660741699421504,0.0824080088239928,1.22626009356686e-15,2.16034683914012e-15
