HGNC ID	Status	Approved symbol	Alias symbol	Previous symbol	Ensembl gene ID
HGNC:23659	Approved	AGAP10P	bA358L16.1	CTGLF10P	ENSG00000230869
HGNC:23659	Approved	AGAP10P	bA144G6.2	AGAP10	ENSG00000230869
HGNC:23659	Approved	AGAP10P	bA144G6.2	CTGLF7	ENSG00000230869
HGNC:23659	Approved	AGAP10P	bA144G6.2	CTGLF10P	ENSG00000230869
HGNC:23661	Approved	AGAP12P	bA164N7.2	CTGLF12P	ENSG00000265018
HGNC:23499	Approved	AGAP13P	bA548K23.1	CTGLF9P	ENSG00000243289
HGNC:23660	Approved	AGAP14P	bA145E20.1	CTGLF11P	ENSG00000279058
HGNC:23660	Approved	AGAP14P	bA145E20.1	AGAP14	ENSG00000279058
HGNC:38051	Approved	AGGF1P1			ENSG00000214273
HGNC:38052	Approved	AGGF1P2			ENSG00000233435
HGNC:38053	Approved	AGGF1P3			ENSG00000241532
HGNC:38054	Approved	AGGF1P4			ENSG00000261689
HGNC:51741	Approved	AGGF1P5			ENSG00000260680
HGNC:51744	Approved	AGGF1P6			ENSG00000259836
HGNC:51740	Approved	AGGF1P7			ENSG00000260994
HGNC:51745	Approved	AGGF1P8			ENSG00000261752
HGNC:51746	Approved	AGGF1P9			ENSG00000260427
HGNC:51747	Approved	AGGF1P10			ENSG00000282968
HGNC:37661	Approved	AGKP1	AGKY1		ENSG00000226555
HGNC:55132	Approved	AGKP2			ENSG00000228819
HGNC:37709	Approved	AGPAT5P1			ENSG00000234652
HGNC:24620	Approved	AHCTF1P1	ELYS-like	AHCTF1P	ENSG00000226121
HGNC:44993	Approved	AHCYP1			
HGNC:44994	Approved	AHCYP2			ENSG00000238181
HGNC:44995	Approved	AHCYP3			ENSG00000233955
HGNC:44996	Approved	AHCYP4			ENSG00000232992
HGNC:44997	Approved	AHCYP5			ENSG00000213107
HGNC:44998	Approved	AHCYP6			
HGNC:44999	Approved	AHCYP7			ENSG00000259465
HGNC:45000	Approved	AHCYP8			ENSG00000242529
HGNC:20437	Approved	AHSA2P	DKFZp564C236	AHSA2	ENSG00000173209
HGNC:20437	Approved	AHSA2P	Hch1	AHSA2	ENSG00000173209
HGNC:20437	Approved	AHSA2P	AHA1	AHSA2	ENSG00000173209
HGNC:54663	Approved	AIDAP1			ENSG00000230154
HGNC:54664	Approved	AIDAP2			ENSG00000251429
HGNC:54665	Approved	AIDAP3			ENSG00000264189
HGNC:44884	Approved	AIFM1P1			ENSG00000225509
HGNC:43926	Approved	AIG1P1			ENSG00000249089
HGNC:16543	Approved	AIMP1P1	bA400P21.1	SCYE1P	ENSG00000234187
HGNC:43693	Approved	AIMP1P2			ENSG00000227177
HGNC:24037	Approved	AK2P1	AK2B		
HGNC:33542	Approved	AK2P2			ENSG00000242272
HGNC:31099	Approved	AK3P2	HsT26053		ENSG00000250115
HGNC:39062	Approved	AK3P3			ENSG00000230042
HGNC:39063	Approved	AK3P4			ENSG00000248722
HGNC:39064	Approved	AK3P5			ENSG00000228816
HGNC:39065	Approved	AK3P6			
HGNC:364	Approved	AK4P1		AK3P1	ENSG00000263535
HGNC:39066	Approved	AK4P2			ENSG00000249410
HGNC:21596	Approved	AK4P3	AK3L2P	AK3L2	ENSG00000233381
HGNC:39067	Approved	AK4P4			ENSG00000223621
HGNC:39068	Approved	AK4P5			ENSG00000217377
HGNC:39069	Approved	AK4P6			ENSG00000235606
HGNC:51678	Approved	AK6P1			ENSG00000256614
HGNC:51679	Approved	AK6P2			ENSG00000257173
HGNC:49758	Approved	AKAP8P1			ENSG00000234146
HGNC:38514	Approved	AKAP17BP		AKAP16B	ENSG00000214992
HGNC:38514	Approved	AKAP17BP		AKAP16BP	ENSG00000214992
HGNC:50794	Approved	AKIRIN1P1			ENSG00000257786
HGNC:50797	Approved	AKIRIN1P2			ENSG00000228125
HGNC:50796	Approved	AKIRIN2P1			ENSG00000251482
HGNC:420	Approved	AKR1B1P1		ALDRL1	ENSG00000229991
HGNC:425	Approved	AKR1B1P2		ALDRP	ENSG00000213452
HGNC:422	Approved	AKR1B1P3		ALDRL3	ENSG00000213785
HGNC:423	Approved	AKR1B1P4		ALDRL4	ENSG00000237876
HGNC:20002	Approved	AKR1B1P5		AKR1B1P	ENSG00000258685
HGNC:33498	Approved	AKR1B1P6			ENSG00000225212
HGNC:33497	Approved	AKR1B1P7			ENSG00000266899
HGNC:33496	Approved	AKR1B1P8			ENSG00000231371
HGNC:45062	Approved	AKR1B10P1			ENSG00000213606
HGNC:45063	Approved	AKR1B10P2			ENSG00000263355
HGNC:44679	Approved	AKR1C5P			ENSG00000225418
HGNC:44680	Approved	AKR1C6P	TAKR		ENSG00000151631
HGNC:44681	Approved	AKR1C7P			ENSG00000215267
HGNC:23469	Approved	AKR1C8P		AKR1CL1	ENSG00000264006
HGNC:11288	Approved	AKR1D1P1		SRD5BP1	ENSG00000227776
HGNC:11288	Approved	AKR1D1P1		AKR1D1P	ENSG00000227776
HGNC:24062	Approved	AKR7A2P1	AFARP1		ENSG00000229020
HGNC:55059	Approved	AKR7A2P2			ENSG00000224341
HGNC:878	Approved	ALDH7A1P1		ATQL1	ENSG00000251400
HGNC:879	Approved	ALDH7A1P2		ATQL2	ENSG00000232292
